code,name_from_chart
513310,中韩半导体ETF
515880,通信ETF
159583,通信设备ETF
588170,科创半导体ETF
159516,半导体设备ETF
159363,创业板人工智能ETF华宝
588200,科创芯片ETF
159781,科创创业ETF易方达
588020,科创成长ETF易方达
561380,恒生A股电网设备ETF
159967,创业板成长ETF
562800,稀有金属ETF
512480,半导体ETF
159949,创业板50ETF
515000,科技ETF
159819,人工智能ETF易方达
588780,科创芯片设计ETF
516640,芯片龙头ETF
159995,芯片ETF
159732,消费电子ETF
560860,工业有色ETF
159915,创业板ETF易方达
159326,电网设备ETF
588230,科创200ETF
588220,科创100ETF基金
561330,矿业ETF
159796,电池50ETF
516150,稀土ETF嘉实
159652,有色50ETF
159368,创业板新能源ETF华夏
589000,科创综指ETF华夏
159206,卫星ETF
588000,科创50ETF
159509,纳指科技ETF
512400,有色金属ETF
159566,储能电池ETF易方达
516160,新能源ETF
159218,卫星产业ETF
159755,电池ETF
515790,光伏ETF
515700,新能源车ETF
513520,日经ETF
515030,新能源车ETF
159502,标普生物科技ETF
588790,科创AIETF
516510,云计算ETF易方达
159870,化工ETF
159901,深证100ETF易方达
588830,科创新能源ETF
510500,中证500ETF
563300,中证2000ETF
561360,石油ETF
563000,中国A50ETF易方达
159628,国证2000ETF
159930,能源ETF
159941,纳指ETF
159518,标普油气ETF
512100,中证1000ETF
159572,创业板200ETF易方达
563360,A500ETF华泰柏瑞
562500,机器人ETF
515220,煤炭ETF
515800,800ETF
159981,能源化工ETF
513290,纳指生物科技ETF
512090,MSCIA股ETF易方达
513850,美国50ETF易方达
159980,有色ETF大成
560280,工程机械ETF
513500,标普500ETF
159559,机器人50ETF
517520,黄金股ETF
510300,沪深300ETF华泰柏瑞
159655,标普ETF
510210,上证指数ETF
159595,中证A50ETF大成
159201,自由现金流ETF
515050,5G通信ETF
512660,军工ETF
159638,高端装备ETF
518680,金ETF
159611,电力ETF
513190,港股通金融ETF
159758,红利质量ETF
512670,国防ETF
510180,上证180ETF
518880,黄金ETF
513400,道琼斯ETF
159625,绿色电力ETF
562060,标普A股红利ETF华宝
513090,香港证券ETF易方达
513630,港股红利指数ETF
513750,港股通非银ETF
159996,家电ETF
513910,港股央企红利ETF
510720,红利国企ETF
513920,港股通央企红利ETF
159998,计算机ETF
159227,航空航天ETF
510050,上证50ETF
516970,基建ETF广发
516520,智能驾驶ETF
510880,红利ETF
515210,钢铁ETF
159985,豆粕ETF
512710,军工龙头ETF
159545,恒生红利低波ETF易方达
512980,传媒ETF
159399,现金流ETF
515450,红利低波50ETF
513550,港股通50ETF
159378,通用航空ETF
510810,上海国企ETF
515100,红利低波100ETF
515400,大数据ETF
517900,银行AH优选ETF
159920,恒生ETF
512070,证券保险ETF易方达
512890,红利低波ETF
159825,农业ETF
515630,保险证券ETF
515300,300红利低波ETF
510230,金融ETF
512880,证券ETF
512800,银行ETF
513120,港股创新药ETF
513780,港股创新药50ETF
159366,港股医疗ETF
159869,游戏ETF
512200,房地产ETF
510900,恒生中国企业ETF易方达
520600,港股汽车ETF
520830,沙特ETF
159892,恒生医药ETF
513030,德国ETF
513700,香港医药ETF
513160,港股科技30ETF
159506,港股通医疗ETF富国
159992,创新药ETF
512170,医疗ETF
513060,恒生医疗ETF
513970,恒生消费ETF
159570,港股通创新药ETF
159883,医疗器械ETF
159859,生物医药ETF
159852,软件ETF
512010,医药ETF易方达
516820,医疗创新ETF
513980,港股科技50ETF
515650,消费50ETF
513360,教育ETF
560080,中药ETF
159865,养殖ETF
159766,旅游ETF
513130,恒生科技ETF
520500,恒生创新药ETF
513330,恒生互联网ETF
159529,标普消费ETF
513050,中概互联网ETF易方达
159928,消费ETF
515170,食品饮料ETF
159851,金融科技ETF
512690,酒ETF
159667,工业母机ETF
159792,港股通互联网ETF
159259,成长ETF易方达
588410,科创创业人工智能ETF鹏华
159131,港股信息技术ETF
159287,创业板综ETF博时
159262,港股通科技ETF
563960,兴全沪深300质量ETF
159263,价值ETF易方达
589720,科创创新药ETF国泰
563760,全指自由现金流ETF
520690,港股创新药精选ETF
